name,lat,lng
선화예술고등학교,37.5502546,127.0875655
성남고등학교,37.505301,126.9265387
성덕고등학교,37.5495007,127.1425564
성보고등학교,37.4801177,126.9207947
성신여자고등학교,37.5945209,127.0226177
성심여자고등학교,37.5341025,126.9542291
세화고등학교,37.5018559,126.9922636
세화여자고등학교,37.5021818,126.9932754
송곡고등학교,37.60536949999999,127.1068868
송곡여자고등학교,37.6063172,127.1053091
숙명여자고등학교,37.4907295,127.0533366
숭문고등학교,37.5515272,126.9451307
숭실고등학교,37.593125,126.9032327
숭의여자고등학교,37.5073276,126.9292344
신광여자고등학교,37.5431703,126.9699957
신일고등학교,37.6282824,127.0282661
양정고등학교,37.5347501,126.8871706
양천고등학교,37.5088072,126.8459167
염광고등학교,37.6283619,127.0495164
영동고등학교,37.5202083,127.0433256
영동일고등학교,37.5099074,127.0897897
영락고등학교,37.4763905,126.9446913
영신여자고등학교,37.6521121,127.0828722
영일고등학교,37.5473671,126.8618151
영파여자고등학교,37.5322559,127.1201244
영훈고등학교,37.613765,127.0278332
예일여자고등학교,37.6107227,126.9153633
오류고등학교,37.4996945,126.8282053
오산고등학교,37.524645,127.0000902
용문고등학교,37.5883385,127.0243811
용화여자고등학교,37.6588542,127.0583619
우신고등학교,37.4951383,126.8268765
은광여자고등학교,37.4884898,127.0353272
이화여자고등학교,37.5657014,126.9712202
이화여자대학교사범대학부속이화금란고등학교,37.5661394,126.9473307
이화여자외국어고등학교,37.5649455,126.9695624
인창고등학교,37.5651781,126.9639075
잠실여자고등학교,37.5017159,127.1135991
장충고등학교,37.5531457,127.0065905
장훈고등학교,37.5130688,126.9151301
재현고등학교,37.6611696,127.0807395
정신여자고등학교,37.5091964,127.0727415
정의여자고등학교,37.6529105,127.0318063
중동고등학교,37.4935585,127.0804483
중산고등학교,37.485653,127.0808471
중앙고등학교,37.584897,126.9870352
중앙대학교사범대학부속고등학교,37.4919416,127.0521317
중앙여자고등학교,37.5628641,126.9531684
진명여자고등학교,37.5233992,126.8659261
진선여자고등학교,37.501754,127.0476387
창문여자고등학교,37.6131144,127.0362812
청원고등학교,37.66602839999999,127.0620129
청원여자고등학교,37.6661276,127.0612651
충암고등학교,37.58504569999999,126.9217386
풍문여자고등학교,37.5767345,126.9833623
하나고등학교,37.6409443,126.9367183
한가람고등학교,37.5375573,126.883869
한광고등학교,37.5388666,126.8578799
한국삼육고등학교,37.6431424,127.1062512
한서고등학교,37.5746018,126.8081599
한성고등학교,37.55970689999999,126.954598
한성여자고등학교,37.5827584,127.0106694
한양대학교사범대학부속고등학교,37.5618699,127.0422967
한영고등학교,37.5489092,127.1581466
한영외국어고등학교,37.5480681,127.1572303
해성여자고등학교,37.5812848,127.0569633
현대고등학교,37.5250492,127.0226548
혜성여자고등학교,37.640511,127.0736034
혜원여자고등학교,37.592991,127.0967019
홍익대학교사범대학부속고등학교,37.5940995,127.0032562
홍익대학교사범대학부속여자고등학교,37.5601993,126.9126511
화곡고등학교,37.5480514,126.831698
환일고등학교,37.5538606,126.9619374
휘경여자고등학교,37.5831849,127.0673783
휘문고등학교,37.504951,127.0620662
서울로봇고등학교,37.4807426,127.084375
수도전기공업고등학교,37.4850307,127.0639073
마포고등학교,37.5600145,126.8536047
명덕고등학교,37.55360110000001,126.8347305
명덕외국어고등학교,37.5540714,126.8334004
명지고등학교,37.5848709,126.9270773
목동고등학교,37.5089842,126.8607326
