name,lat,long
이대,37.55848315,126.9459643
연세종합관,37.56177145,126.9414708
이대ECC,37.561631,126.947350
연대,37.558706,126.936727
신촌아트레온,37.556505,126.940238
충정로역,37.56137,126.963219
연대동문,37.566385,126.946273
신촌명물거리,37.557796,126.938095
충정타워,37.559869,126.964110
강남교보타워R,37.503789,127.024075
방배다이치빌딩,37.484329,126.995872
센트럴F1,37.505148,127.004395
서초역이화빌딩,37.487931,127.009126
서초구청,37.484206,127.030103
서초우성사거리,37.493545,127.029430
이수역사거리,37.485850,126.983027
강남대로신사,37.514890,127.019469
서울고속터미널,37.504406,127.005648
강남대로논현R,37.507413,127.022568
방배,37.491914,126.99049739999998
방배카페거리,37.4934767,126.9865297
서초법원,37.492970,127.011875
청계산입구역,37.447323,127.056250
사당로데오,37.4772752,126.98216049999996
파미에파크R,37.5030521,127.004362
교대역,37.494207,127.01394
양재역,37.4820475,127.0367682
논현역,37.5111983,127.0205875
이수역,37.4864664,126.98274029999993
내방역,37.490004,126.992455
서초파라곤,37.494941,127.027422
서울아트센터,37.480866,127.012368
서초중앙로,37.501691,127.01152
센트럴시티,37.504707,127.004459
강남삼성타운,37.49562035,127.0277144
방배역,37.48200755,126.9976438
반포역,37.508589,127.011959
남부터미널,37.48467334,127.0169464
뉴코아강남,37.51031339,127.0069582
강남2,37.5000875,127.02549090000002
교대,37.4923611,127.0142207
하이브랜드,37.46330766,127.0368447
신논현역,37.50529,127.023636
영동2교,37.48203954,127.0425748
남부터미널2,37.48436736,127.0142192
서래마을입구,37.49925284,126.9984801
몬테소리,37.4982695,127.026865
서초역,37.49067495,127.0086118
예술의전당,37.48115265,127.0134724
교대법원,37.496329,127.013336
강남GT타워,37.498056,127.02583300000003
서초동,37.485941,127.021525
서울교대,37.487397,127.015134
강남에비뉴,37.5027,127.023894
종암DT,37.5919525,127.0360401
미아,37.607581,127.029303
성신여대정문,37.590910,127.018800
종암,37.601095,127.033847
삼선교,37.588696,127.00732070000003
월곡역,37.601718,127.040446
고대,37.58397192,127.0297352
현대미아,37.60837822,127.0287483
고대안암병원,37.5873062,127.0272139
성신여대,37.593135,127.018379
안암역,37.586319,127.030556
