name,address
중앙대점,서울특별시 동작구 서울특별시 동작구 흑석동 221 중앙대학교 약학대학 R&D 센타 지하 1층
청담DT점,서울특별시 강남구 서울특별시 강남구 청담동 87-3
코엑스,서울특별시 강남구 서울특별시 강남구 삼성동 159-2
파리공원점,서울특별시 양천구 서울특별시 양천구 목동 908-25
한국외대점,서울특별시 동대문구 서울특별시 동대문구 이문동 305-151
한양대점,서울특별시 성동구 서울특별시 성동구 행당동 31-7
한티점,서울특별시 강남구 서울특별시 강남구 대치동 938-22
합정 메세나폴리스,서울특별시 마포구 서울특별시 마포구 서교동 490 메세나폴리스 몰동2층
홍익대점,서울특별시 마포구 서울특별시 마포구 동교동 162-4 2층
홍제역점,서울특별시 서대문구 서울특별시 서대문구 홍제동 253-11
