name,lat,lng,label
서울고은초등학교,37.5847872,126.9433678,초등학교
서울공덕초등학교,37.5457314,126.95408359999999,초등학교
서울구산초등학교,37.6124476,126.9094685,초등학교
서울구현초등학교,37.609222700000004,126.90584820000001,초등학교
서울금화초등학교,37.5683284,126.9630251,초등학교
서울녹번초등학교,37.604001000000004,126.92633500000001,초등학교
서울대신초등학교,37.5580828,126.947849,초등학교
서울대은초등학교,37.6121672,126.9259733,초등학교
서울대조초등학교,37.613223299999994,126.91954229999999,초등학교
서울동교초등학교,37.5582046,126.90235039999999,초등학교
서울마포초등학교,37.53842720000001,126.9494344,초등학교
서울망원초등학교,37.5608234,126.9008405,초등학교
서울미동초등학교,37.563100299999995,126.9662737,초등학교
서울북가좌초등학교,37.5774792,126.9074665,초등학교
서울북성초등학교,37.559433,126.951959,초등학교
서울북한산초등학교,37.654060799999996,126.95033799999999,초등학교
서울불광초등학교,37.6130323,126.93098190000002,초등학교
서울상신초등학교,37.5976771,126.9048,초등학교
서울상암초등학교,37.5759905,126.89226509999999,초등학교
서울상지초등학교,37.579697499999995,126.88215220000001,초등학교
서울서강초등학교,37.5483494,126.92658929999999,초등학교
서울서교초등학교,37.5546731,126.92512579999999,초등학교
서울서신초등학교,37.5925304,126.9075312,초등학교
서울성산초등학교,37.5534098,126.9111567,초등학교
서울성서초등학교,37.5605411,126.91111629999999,초등학교
서울성원초등학교,37.567288700000006,126.9052439,초등학교
서울소의초등학교,37.5522966,126.96080159999998,초등학교
서울수리초등학교,37.6196923,126.9333781,초등학교
서울수색초등학교,37.584920000000004,126.89542150000001,초등학교
서울신도초등학교,37.6327684,126.9291409,초등학교
서울신북초등학교,37.5712061,126.90511640000001,초등학교
서울신사초등학교,37.5926639,126.91212150000001,초등학교
서울신석초등학교,37.5440646,126.937863,초등학교
서울아현초등학교,37.555510299999995,126.95596609999998,초등학교
서울대방초등학교,37.5026701,126.91914809999999,초등학교
서울대영초등학교,37.5023694,126.90615179999999,초등학교
서울덕의초등학교,37.5062766,126.85679879999999,초등학교
서울도림초등학교,37.5079851,126.9068392,초등학교
서울도신초등학교,37.4987722,126.90088109999999,초등학교
서울독산초등학교,37.465101399999995,126.9000078,초등학교
서울동구로초등학교,37.491554799999996,126.8922898,초등학교
서울두산초등학교,37.4672494,126.89097209999998,초등학교
서울매봉초등학교,37.5046996,126.844375,초등학교
서울문교초등학교,37.4667151,126.9089754,초등학교
서울문래초등학교,37.518539600000004,126.89321559999999,초등학교
서울문백초등학교,37.4470088,126.8995074,초등학교
서울문성초등학교,37.4747768,126.89946440000001,초등학교
서울미래초등학교,37.505016,126.88794240000001,초등학교
서울백산초등학교,37.4465482,126.90509109999998,초등학교
서울선유초등학교,37.5328162,126.8927942,초등학교
서울세곡초등학교,37.5048823,126.84905800000001,초등학교
서울시흥초등학교,37.4546436,126.9049575,초등학교
서울신구로초등학교,37.499552,126.88936580000001,초등학교
서울신대림초등학교,37.492244,126.9058212,초등학교
서울신도림초등학교,37.5123256,126.8833965,초등학교
서울신미림초등학교,37.506927399999995,126.87949340000002,초등학교
서울신영초등학교,37.5006847,126.8957265,초등학교
서울신흥초등학교,37.459686700000006,126.9090436,초등학교
서울안천초등학교,37.4585946,126.88835549999999,초등학교
서울여의도초등학교,37.5228802,126.93647340000001,초등학교
서울영남초등학교,37.4754537,126.90949170000002,초등학교
서울영동초등학교,37.5263594,126.9074081,초등학교
서울영등포초등학교,37.5129331,126.8992618,초등학교
서울영림초등학교,37.4873525,126.9024483,초등학교
서울영문초등학교,37.5194948,126.88765740000001,초등학교
서울영서초등학교,37.4882883,126.89467420000001,초등학교
서울영신초등학교,37.509968,126.91800900000001,초등학교
서울영원초등학교,37.5106756,126.90221070000001,초등학교
서울영일초등학교,37.48530170000001,126.88407360000001,초등학교
서울영중초등학교,37.5236591,126.90381380000001,초등학교
서울오류남초등학교,37.4896067,126.83871059999998,초등학교
서울오류초등학교,37.49814979999999,126.8423284,초등학교
서울오정초등학교,37.489624,126.82651489999999,초등학교
서울온수초등학교,37.4940717,126.825993,초등학교
서울우신초등학교,37.509564000000005,126.91189229999999,초등학교
서울윤중초등학교,37.5197287,126.92279209999998,초등학교
서울정심초등학교,37.4717252,126.908326,초등학교
서울천왕초등학교,37.481403799999995,126.8370135,초등학교
서울탑동초등학교,37.452434100000005,126.9149142,초등학교
서울흥일초등학교,37.462334999999996,126.9074,초등학교
동광초등학교,37.451389899999995,126.916402,초등학교
서울가인초등학교,37.659906799999995,127.04315919999999,초등학교
서울계상초등학교,37.66271,127.0682669,초등학교
서울공릉초등학교,37.6188016,127.0741878,초등학교
서울공연초등학교,37.627253100000004,127.0741645,초등학교
서울노원초등학교,37.67331779999999,127.0582937,초등학교
서울노일초등학교,37.6732915,127.0547777,초등학교
서울연지초등학교,37.63347879999999,127.05998400000001,초등학교
서울연촌초등학교,37.63506470000001,127.07286210000001,초등학교
서울오봉초등학교,37.6718842,127.04028819999999,초등학교
서울온곡초등학교,37.667608200000004,127.0657902,초등학교
서울용동초등학교,37.641678399999996,127.0694395,초등학교
서울용원초등학교,37.6296027,127.0688662,초등학교
서울원광초등학교,37.6542123,127.07478870000001,초등학교
서울월계초등학교,37.627663500000004,127.0504153,초등학교
서울월천초등학교,37.6478402,127.05220159999999,초등학교
서울을지초등학교,37.6503519,127.07312990000001,초등학교
서울자운초등학교,37.6577174,127.0463946,초등학교
서울중계초등학교,37.6577549,127.0730277,초등학교
서울중원초등학교,37.6436137,127.0628262,초등학교
서울중평초등학교,37.63727960000001,127.0640898,초등학교
서울중현초등학교,37.632417499999995,127.0662355,초등학교
서울창경초등학교,37.6561144,127.0347544,초등학교
서울창도초등학교,37.663831,127.0490956,초등학교
서울창동초등학교,37.6551924,127.0446861,초등학교
서울창림초등학교,37.6429724,127.04154869999999,초등학교
서울창원초등학교,37.6525531,127.040553,초등학교
서울창일초등학교,37.647169500000004,127.0476797,초등학교
서울청계초등학교,37.6448867,127.066442,초등학교
서울초당초등학교,37.6584988,127.0221014,초등학교
서울태랑초등학교,37.6259486,127.0905347,초등학교
서울태릉초등학교,37.6228668,127.0852435,초등학교
서울한천초등학교,37.620463799999996,127.06901299999998,초등학교
동북초등학교,37.655351,127.02682890000001,초등학교
상명초등학교,37.648470200000006,127.06759040000001,초등학교
청원초등학교,37.66602839999999,127.0620129,초등학교
태강삼육초등학교,37.641808399999995,127.11047549999999,초등학교
한신초등학교,37.6529105,127.03180630000001,초등학교
화랑초등학교,37.6292222,127.0905514,초등학교
서울대학교사범대학부설초등학교,37.5770935,127.00380220000001,초등학교
서울광희초등학교,37.5674432,127.0151689,초등학교
서울교동초등학교,37.574889399999996,126.9878998,초등학교
서울금양초등학교,37.5406238,126.96133590000002,초등학교
서울남산초등학교,37.5600487,126.98676840000002,초등학교
서울남정초등학교,37.5360588,126.96498829999999,초등학교
서울덕수초등학교,37.568560600000005,126.97444240000002,초등학교
서울독립문초등학교,37.574143400000004,126.96022520000001,초등학교
서울매동초등학교,37.577234499999996,126.9668504,초등학교
서울명신초등학교,37.581238799999994,127.013846,초등학교
서울보광초등학교,37.5324844,126.9963061,초등학교
서울봉래초등학교,37.5561784,126.9637888,초등학교
서울삼광초등학교,37.5473619,126.97682309999999,초등학교
서울서빙고초등학교,37.52144439999999,126.9921325,초등학교
서울세검정초등학교,37.6033878,126.9608999,초등학교
서울숭신초등학교,37.572022600000004,127.0174768,초등학교
서울신당초등학교,37.56371499999999,127.0237741,초등학교
서울신용산초등학교,37.520194000000004,126.9756071,초등학교
서울용산초등학교,37.535289899999995,126.9720729,초등학교
서울용암초등학교,37.5448696,126.9891625,초등학교
서울원효초등학교,37.536038,126.951778,초등학교
서울이태원초등학교,37.5360669,126.98785900000001,초등학교
서울장충초등학교,37.5594818,127.01141409999998,초등학교
서울재동초등학교,37.5799027,126.9855858,초등학교
서울창신초등학교,37.5760326,127.01438219999999,초등학교
서울청구초등학교,37.5582656,127.01413640000001,초등학교
서울청운초등학교,37.5859741,126.96917069999999,초등학교
서울청파초등학교,37.5475544,126.96408020000001,초등학교
서울충무초등학교,37.56196679999999,127.001346,초등학교
서울한강초등학교,37.525214,126.9651087,초등학교
서울한남초등학교,37.539249299999994,127.00512520000001,초등학교
서울혜화초등학교,37.5888137,127.00002490000001,초등학교
서울효제초등학교,37.572882799999995,127.0032572,초등학교
서울후암초등학교,37.5512799,126.98223689999999,초등학교
서울흥인초등학교,37.560425099999996,127.0142995,초등학교
동산초등학교,37.55636459999999,127.01707240000002,초등학교
리라초등학교,37.55797020000001,126.9885837,초등학교
상명대학교사범대학부속초등학교,37.6008592,126.95622959999999,초등학교
숭의초등학교,37.556776299999996,126.9875325,초등학교
신광초등학교,37.5431703,126.9699957,초등학교
운현초등학교,37.5758393,126.98781899999999,초등학교
서울가동초등학교,37.4973198,127.130219,초등학교
서울가락초등학교,37.5001667,127.1076957,초등학교
서울가원초등학교,37.489369200000006,127.11102209999999,초등학교
서울가주초등학교,37.4965183,127.12917900000001,초등학교
서울강덕초등학교,37.558942200000004,127.1607706,초등학교
서울강동초등학교,37.5461063,127.1304605,초등학교
서울강명초등학교,37.5548237,127.1733219,초등학교
서울강일초등학교,37.5649609,127.17711170000001,초등학교
서울개롱초등학교,37.49736770000001,127.1398426,초등학교
서울거여초등학교,37.5047528,127.1410936,초등학교
서울거원초등학교,37.4878179,127.14475790000002,초등학교
서울고덕초등학교,37.5610786,127.16637659999998,초등학교
서울고명초등학교,37.553032200000004,127.14681999999999,초등학교
서울고일초등학교,37.5520025,127.1690875,초등학교
서울길동초등학교,37.5383348,127.144282,초등학교
서울남천초등학교,37.5011739,127.15057150000001,초등학교
서울대명초등학교,37.5476037,127.1528696,초등학교
서울둔촌초등학교,37.5257926,127.1371774,초등학교
서울마천초등학교,37.4954974,127.1524746,초등학교
서울명덕초등학교,37.5568201,127.14605470000001,초등학교
서울명원초등학교,37.5508081,127.15039740000002,초등학교
서울명일초등학교,37.554188700000005,127.14216200000001,초등학교
서울묘곡초등학교,37.558454600000005,127.1531803,초등학교
서울문덕초등학교,37.4852891,127.12756329999999,초등학교
서울문정초등학교,37.4891859,127.128957,초등학교
서울문현초등학교,37.4827534,127.1302443,초등학교
서울방산초등학교,37.509645500000005,127.12111429999999,초등학교
서울방이초등학교,37.513091499999994,127.1205626,초등학교
서울버들초등학교,37.5103926,127.08902830000001,초등학교
서울삼전초등학교,37.5015071,127.09274520000001,초등학교
서울상일초등학교,37.54715170000001,127.1723531,초등학교
서울석촌초등학교,37.5027584,127.10487240000002,초등학교
서울선린초등학교,37.529447,127.14604890000001,초등학교
서울선사초등학교,37.555839899999995,127.1284369,초등학교
서울성내초등학교,37.5314221,127.1224451,초등학교
서울성일초등학교,37.529176299999996,127.12836029999998,초등학교
서울세륜초등학교,37.5183539,127.1341356,초등학교
서울송례초등학교,37.4777421,127.1383172,초등학교
서울송전초등학교,37.5084993,127.09497479999999,초등학교
서울송파초등학교,37.5070348,127.1107382,초등학교
서울신가초등학교,37.5003769,127.11985790000001,초등학교
서울신명초등학교,37.54121629999999,127.1497531,초등학교
서울신암초등학교,37.549484,127.12440020000001,초등학교
